time,state_0,event_threshold_0.8
0,0.1,0
0.5,0.10900000000000001,0
1.0,0.11871190000000001,0
1.5,0.12917383847983901,0
2.0,0.14042263427306137,0
2.5,0.15249304607874892,0
3.0,0.16541693777638627,0
3.5,0.17922235522369323,0
4.0,0.19393252548486978,0
4.5,0.20956479558926278,0
5.0,0.22612953479315212,0
5.5,0.2436290316218906,0
6.0,0.26205642427917764,0
6.5,0.28139470975649655,0
7.0,0.3016158824642519,0
7.5,0.32268025665520816,0
8.0,0.3445360275172219,0
8.5,0.3671191228432093,0
9.0,0.39035339009181347,0
9.5,0.4141511521853777,0
10.0,0.43841414971826786,0
10.5,0.4630348680227755,0
11.0,0.4878982259245661,0
11.5,0.5128835806309888,0
12.0,0.5378669819660014,0
12.5,0.56272359113368,0
13.0,0.5873301662452095,0
13.5,0.6115675104515679,0
14.0,0.6353227795127319,0
14.5,0.6584915540472267,0
15.0,0.6809795967767962,0
15.5,0.702704235331847,0
16.0,0.7235953346297002,0
16.5,0.7435958472628834,0
17.0,0.7626619535825112,0
17.5,0.7807628233965331,0
18.0,0.7978800470963738,0
18.5,0.81400679485056,1
19.0,0.8291467681293279,1
19.5,0.8433130086323297,1
20.0,0.8565266264427115,1
20.5,0.8688155029064494,1
21.0,0.8802130153880356,1
21.5,0.8907568216809894,1
22.0,0.9004877323119665,1
22.5,0.9094486899387284,1
23.0,0.9176838669694743,1
23.5,0.925237885696817,1
24.0,0.9321551597536271,1
24.5,0.9384793515434587,1
25.0,0.9442529373704616,1
25.5,0.9495168701342332,1
26.0,0.9543103284807055,1
26.5,0.9586705410242808,1
27.0,0.9626326745039302,1
27.5,0.9662297753520642,1
28.0,0.9694927550095805,1
28.5,0.972450410308932,1
29.0,0.9751294712888242,1
29.5,0.9775546698401044,1
30.0,0.9797488235714953,1
30.5,0.9817329301996719,1
31.0,0.9835262685957957,1
31.5,0.9851465033535783,1
32.0,0.986609790381958,1
32.5,0.9879308815724006,1
33.0,0.9891232270531987,1
33.5,0.9901990739289052,1
34.0,0.9911695607208295,1
34.5,0.9920448069829603,1
35.0,0.9928339977750704,1
35.5,0.9935454628387747,1
36.0,0.9941867504499006,1
36.5,0.9947646960178773,1
37.0,0.995285485575311,1
37.5,0.9957547143531539,1
38.0,0.9961774406728161,1
38.5,0.9965582354095535,1
39.0,0.9969012272942485,1
39.5,0.9972101443255954,1
40.0,0.9974883515635674,1
40.5,0.9977388855694238,1
41.0,0.9979644857486346,1
41.5,0.9981676228419444,1
42.0,0.998350524797145,1
42.5,0.998515200240586,1
43.0,0.9986634597534949,1
43.5,0.9987969351441623,1
44.0,0.9989170968932414,1
44.5,0.9990252699360034,1
45.0,0.9991226479325332,1
45.5,0.9992103061646149,1
46.0,0.9992892131865181,1
46.5,0.9993602413460768,1
47.0,0.9994241762823556,1
47.5,0.9994817254968247,1
48.0,0.9995335260862962,1
48.5,0.9995801517178754,1
49.0,0.9996221189188299,1
49.5,0.9996598927475357,1
50.0,0.9996938919054879,1
